"assignee_id"	"assignee_type"	"disambig_assignee_individual_name_first"	"disambig_assignee_individual_name_last"	"disambig_assignee_organization"
"org_E7HNSpRW4E3BaEwll5ep"	3	NA	NA	"Smith and Nephew Associated Companies Limited"
"org_e7i3O564HmNZAIc9XiP0"	2	NA	NA	"Improved Glasses, Inc."
"org_e7P8GrPLibug4jzXZtkq"	2	NA	NA	"Valentine Research, Inc."
"org_E7SPDf2DJHrE2TjWfCIi"	2	NA	NA	"Protagonist Therapeutics, Inc."
"org_e8AAt0vxomofWJsfL4FR"	3	NA	NA	"GLOBALFOUNDRIES Singapore Pte. Ltd."
"org_e8biRqiOoGeEXS4ugme6"	3	NA	NA	"Telecommunications Research Laboratories"
"org_E8FLd3M0W2pVWkNXwd8U"	3	NA	NA	"Kabushiki Kaisha Kawai Gakki Seisakusho"
"org_e8HuZ7qpD1CvaZE3zg32"	3	NA	NA	"ZTE Corporation"
"org_E8JjyPFvfKbbsQnKHzcV"	2	NA	NA	"Amoco Corporation"
"org_e8lgDhv02bLOlRG2tfA8"	2	NA	NA	"CPH Innovations Corp."
"org_E8PXbdb7wpqEyfORmMkQ"	3	NA	NA	"Rofin-Sinar Laser GmbH"
"org_E8wS5nQroOg6ZhsoDCoT"	2	NA	NA	"Cryptography Research, Inc."
"org_e8x0zmsvXbXhebbMhUWp"	2	NA	NA	"Kress Corporation"
"org_e8Xglgb9CuLcWjc6tNCP"	3	NA	NA	"Okaya Electric Industries Co., Ltd."
"org_E8yNB17ZWcBul8PAvzbX"	3	NA	NA	"Mitsubishi Chemical Corporation"
"org_e9bAnVrfwnnYpgpTpsky"	3	NA	NA	"Maja-Maschinenfabrik Hermann Schill GmbH & Co. KG"
"org_e9bm0QO1GWbehl8895az"	3	NA	NA	"Skil Europe B.V."
"org_E9is4GQIvRPhdFB9cKYV"	2	NA	NA	"Veoneer US, Inc."
"org_e9JfUyLQiYsgIomyWALj"	3	NA	NA	"Staat Der Nederlanden"
"org_E9jjWFXq3xFyV0ljK2oE"	2	NA	NA	"Rubbermaid Incorporated"
"org_e9nrS8ZpTVpOJNtiNTZZ"	2	NA	NA	"Cyrix Corporation"
"org_E9o31HKVzstXeduRZD3q"	2	NA	NA	"Applied Magnetics Corporation"
"org_E9qBA23FkXJO0orQVRqY"	2	NA	NA	"Carroll Research, Inc."
"org_e9sAGO6bfWj0YbyMfemz"	3	NA	NA	"CathRx Ltd"
"org_e9Ye7OT9SGrcsX7s8zpw"	3	NA	NA	"Fuji Electric Device Technology Co., Ltd."
"org_ea1U3TtbtRYSqKATAKBT"	3	NA	NA	"ABB Schweiz AG"
"org_ea6ogFKDauRXLefeinLV"	2	NA	NA	"Kaufman & Robinson, Inc."
"org_eAcaUfmzEdKQlrpKHLmC"	2	NA	NA	"Fastenetix, LLC"
"org_eaEQuJPTE9sWBe0Kfb0q"	2	NA	NA	"New Jersey Institute of Technology"
"org_eAiheYmZqdmFttgQW08m"	2	NA	NA	"Eveready Battery Company, Inc."
"org_EamrfArFmfIb4wozVDu4"	2	NA	NA	"New Venture Gear, Inc."
"org_EANoMCuu3A5GQml61lul"	3	NA	NA	"AMOREPACIFIC CORPORATION"
"org_eanTXjfZxpLi5LyYNnGT"	3	NA	NA	"Dialogic Corporation"
"org_EauyXQgP9i3QBMO8WRA1"	3	NA	NA	"Romada Holdings Ltd."
"org_EAw57WGPZlpzwq4WkNIX"	2	NA	NA	"VMWARE, INC."
"org_Eaw6tuI0lczt4rSbAD63"	3	NA	NA	"AMG Medical Inc."
"org_Eb29cdat72cuhVkKeDqf"	2	NA	NA	"Automotive Systems Laboratory, Inc."
"org_eb6l0R0RvdLMgRZdECoJ"	2	NA	NA	"The WellBoss Company, LLC"
"org_eb9ITvbXjYhRZo00ZErY"	3	NA	NA	"Rediffusion Reditronics Limited"
"org_eBdPBup9L6npskSMUDvl"	3	NA	NA	"Oxford Magnet Technology Limited"
"org_ebkF5DgRfqvzP9G0l0k1"	2	NA	NA	"Syncor International Corporation"
"org_ebKrvzdVGQIEBbXexzwb"	3	NA	NA	"Kajaani Elektroniikka Oy"
"org_EbmlJ37YJppCdEcjq7Sd"	2	NA	NA	"RHAPSODY INTERNATIONAL INC."
"org_EBnD2O6JtDz6XjK2zYse"	2	NA	NA	"Stanton Concepts Inc."
"org_ebsU97YEysevoOFaiv5l"	2	NA	NA	"Dynetics, Inc."
"org_ebTFcG92uMNksDJJA2ZL"	2	NA	NA	"CVI/Beta Ventures, Inc."
"org_Ec57IEOo6lfOmUXuk9AF"	3	NA	NA	"Nitto Kagaku Kogyo Kabushiki Kaisha"
"org_ece6WRHIX7eTiZTx7etR"	2	NA	NA	"Photonics Systems, Inc."
"org_EcfDKnrzRU1KIxb7HM42"	3	NA	NA	"UNIVERSIDAD DE MURCIA"
"org_eClhv1pkBRGHdEoaGFtp"	3	NA	NA	"TRINSEO EUROPE GMBH"
"org_ecnh9xdsAMmCWbcwtgSJ"	3	NA	NA	"Lorom Industrial Co., Ltd."
"org_EcqYNI57EsNLZPUMkj7a"	3	NA	NA	"Troponwerke GmbH & Co. KG"
"org_Ecr3w3WMKfLo65Hd2KtW"	3	NA	NA	"HOKUYO AUTOMATIC CO., LTD."
"org_ECS6Mre7DiDtOp64Cr0L"	2	NA	NA	"The Firestone Tire & Rubber Company"
"org_EcTsNNz3O05TbFHy6d56"	3	NA	NA	"Japan Aviation Electronics Industry, Limited"
"org_eCULSst99JO5uSbLe0aD"	3	NA	NA	"Samsung Electron Devices Co., Ltd."
"org_EcutDK7tVf4vzPrj56On"	3	NA	NA	"NCM INNOVATIONS (PTY) LTD."
"org_ECVPV096jSh4dg7PlCzR"	3	NA	NA	"CATHOLIC UNIVERSITY INDUSTRY ACADEMIC COOPERATION FOUNDATION"
"org_ed4y7uTWlTrr3JN720d7"	3	NA	NA	"TECHNOFORM GLASS INSULATION HOLDING GMBH"
"org_Ed5Q6vlkYEorVhXt1kHG"	3	NA	NA	"TRUMPF Werkzeugmaschinen GmbH + Co. KG"
"org_ed8fJErbiKLPj0C9EL1j"	3	NA	NA	"MDS (Canada) Inc."
"org_Ed96jbCFnHQA2FmnIqfE"	3	NA	NA	"Kvaerner Hymac Inc."
"org_eDdMiEsC9vNwmIjNYtY3"	3	NA	NA	"Medison Co., Ltd."
"org_EDEms1BBzKdqvwkIZoVf"	2	NA	NA	"Quest Diagnostics Investments Incorporated"
"org_EDfVoKsqJBWlz91Xv2m9"	2	NA	NA	"F21, LLC"
"org_EDk1x7u4MmLj2VWE83I2"	2	NA	NA	"Westvaco Corporation"
"org_EdlakXuBHjpVQbvdROdE"	3	NA	NA	"Domtar Inc."
"org_Edlzr0lQ4tdayJxYW0As"	3	NA	NA	"NIEN MADE ENTERPRISE CO., LTD."
"org_EdQ1Pi5iYpdrEtZWiw4p"	2	NA	NA	"Midland Brake, Inc."
"org_EDsf6OzfDtgkEJggorcg"	3	NA	NA	"Nakagawa, Akio"
"org_edSsSvkxKWYNKWiNOGr4"	2	NA	NA	"The Burton Corporation"
"org_eDSSszCf5LbXEY8FnuGP"	3	NA	NA	"Quest International B.V."
"org_EdVr5TphRQf9uh6SsOVY"	3	NA	NA	"Draka Comteq B.V."
"org_EE1s0Apau9Ewy6k5yRnX"	3	NA	NA	"Reiner Brach Import-Export"
"org_ee2viHiyjazP9nobWw9F"	2	NA	NA	"WMS Gaming Inc."
"org_eECvUHZr09zwnrv1pVW9"	3	NA	NA	"Kabushiki Kaisha Kobe Seiko Sho"
"org_eED5CIEAAhjBiSI1mozo"	3	NA	NA	"Nippon Zeon Co., Ltd."
"org_eeDxMYGODMFm7fLUy8XL"	3	NA	NA	"Omya International AG"
"org_EEfBVnbpbZsNYnquyc2O"	3	NA	NA	"Oulun Yliopisto"
"org_eegFuFLIV7MrgrCLsTUu"	2	NA	NA	"Hill-Rom, Inc."
"org_eEGRunEfuOBfjZz7oPre"	3	NA	NA	"Koa Glass Co., Ltd."
"org_eEJ0RtwyjouIvr9mAnCV"	3	NA	NA	"HP Indigo B.V."
"org_eeLT96p1yDEa2hDkCQDs"	2	NA	NA	"Cortina Systems, Inc."
"org_eetE2bXVKeuMcTxCteDE"	2	NA	NA	"XAMAX INDUSTRIES, INC."
"org_eEvT8Fh7rIM70yan8fO3"	3	NA	NA	"Textilmaschinenfabrik Dr. Ernst Fehrer Aktiengesellschaft"
"org_EeZxRvPW5AOVy4VazHHw"	3	NA	NA	"Advanced Technology Institute of Commuter-Helicopter, Ltd."
"org_EFD2KNQ2fRkyw8WOmbHh"	3	NA	NA	"Livbag SNC"
"org_eFD97nBjlqiUBgnZTTsf"	2	NA	NA	"Marathon Oil Company"
"org_efdsKMIviQWOI0O6AstE"	2	NA	NA	"American Hydraulic Propulsion Systems, Inc."
"org_eFEc1UmxKtWs36B4R5IX"	3	NA	NA	"Roland Corporation"
"org_eFj9MeI7gv1hbavaZ0gq"	2	NA	NA	"OSI Optoelectronics, Inc."
"org_EFQP0wC2dydRpViIfpQy"	3	NA	NA	"Centro Sperimentale Metallurgico S.p.A."
"org_EfrMAG21sZrtgkTUM9cv"	3	NA	NA	"Frisco Ltd."
"org_EFruy6V2ANSsNGkEkCCR"	2	NA	NA	"LJ Laboratories, L.L.C."
"org_eftW9UaiU9axEYBGwBcc"	3	NA	NA	"Plum A/S"
"org_efUmbEDfskkBOSjZDpeT"	3	NA	NA	"Korea Institute of Science and Technology"
"org_EfuWIfy8UHFAsYf6THkn"	3	NA	NA	"BIOSIGMA S.A."
"org_efv64wCSTyUuC762eSJc"	2	NA	NA	"Rex Medical, L.P."
"org_Eg1TNAvhgUAKe1vxG6d4"	2	NA	NA	"Conservation Load Switch, Inc."
"org_eG2PCRPIzi3iBZzYAUTb"	3	NA	NA	"GEA Farm Technologies GmbH"
"org_eg6dxKKeBmvYaByi1uJ9"	3	NA	NA	"ARJOWIGGINS SECURITY"
"org_EgBM7ES7mpZ4K931HEA1"	3	NA	NA	"Dainippon Ink and Chemicals, Inc."
"org_egCXIIpWbtS6Y3gTrOkF"	2	NA	NA	"Saphena Medical, Inc."
"org_egO3fa67IIShiKdzXdDp"	2	NA	NA	"Electronic Arts Inc."
"org_EGRFxBSx6hHd061cg9TR"	2	NA	NA	"Brady Worldwide, Inc."
"org_eGs4LzDVRhPVA2RsRRt0"	3	NA	NA	"Metso Power Oy"
"org_eGzaPh6R3TKtMfiZXwmO"	3	NA	NA	"University of ZÃƒÂ¼rich, Assignee for Josef Hanes"
"org_eh3v6wAtNGkldKh3Lh3J"	3	NA	NA	"Magyar Allamvasutak Reszvenytarsaag"
"org_eH5wNWzSVsfRjwsH91je"	2	NA	NA	"Canji, Inc."
"org_eh73XyoGMbhN4LyOFm0n"	2	NA	NA	"InEnTec Inc."
"org_Ehdlul5KSq166BLzvJYF"	2	NA	NA	"Mevion Medical Systems, Inc."
"org_eHF6wfPADOGfwcG5geWJ"	2	NA	NA	"Kraft, Inc."
"org_eHhz9AnIHQkOdREgpr7A"	3	NA	NA	"Plymatic"
"org_eHnwD3hFygPGCBB6DFnE"	3	NA	NA	"HERAEUS DEUTSCHLAND GMBH & CO. KG"
"org_eHoeWjVftbv8jGFsuPfb"	3	NA	NA	"Amitec-Advanced Multilayer Interconnect Technoloiges Ltd."
"org_EhqBLEird5XItxzmUsYL"	2	NA	NA	"Itek Corporation"
"org_eHtTcuQDQhbdZx2NKHL5"	2	NA	NA	"S&B Technical Products, Inc."
"org_EHTZOirBfO2S43t8owE1"	2	NA	NA	"Remington Arms Company, Inc."
"org_eI0KcD30GjfX5BoXVOAo"	3	NA	NA	"Samsung Techwin Co., Ltd."
"org_Ei40VhwyRDRPLNnOXGOu"	2	NA	NA	"Kawneer Company, Inc."
"org_EIAcxxPGCUTNnLhtY5ll"	2	NA	NA	"Curlin Medical Inc."
"org_EibFFWbmuAIQZpU1qkwg"	3	NA	NA	"Petroliam Nasional Berhad"
"org_EICOKuGHM27UgvCmRpgJ"	2	NA	NA	"Ortho Solutions, LC"
"org_eICuXFqI8wGZRZ8cQ9oY"	3	NA	NA	"CRRC QINGDAO SIFANG ROLLING STOCK RESEARCH INSTITUTE CO., LTD."
"org_EiEC4t6sLExCxdc0am79"	2	NA	NA	"Targacept, Inc."
"org_EiEcv0Fc9Jx99nXuQCQv"	3	NA	NA	"APT MEDICAL HUNAN INC"
"org_EIFBXP8JDJNWRFU10hKj"	2	NA	NA	"Northwestern University"
"org_eiGq1mD5hWdq9Wqs4Apy"	3	NA	NA	"SAMSON AKTIENGESELLSCHAFT"
"org_Eij12qBFDa37W3KCoLve"	2	NA	NA	"International Automotive Components Group North America, Inc."
"org_EIURgYUcSPFzdcFD3lu5"	2	NA	NA	"Sonnax Industries, Inc."
"org_eIvTBMLqEne0xG7CVGiD"	2	NA	NA	"PARASOLEIL"
"org_EJ8XFoeT1mDzXJEp6zLu"	3	NA	NA	"Livedo Corporation"
"org_ejAybeNfal3Pt1KeumLo"	3	NA	NA	"BENDER GMBH & CO. KG"
"org_EJDU2yVIzdZKihZxsiiN"	2	NA	NA	"Exa Corporation"
"org_eJFc620gi3VLEx1J63vp"	2	NA	NA	"Sirenza Microdevices, Inc."
"org_EJMdUKshq4sDGzOOZfjg"	2	NA	NA	"TeleCheck International, Inc."
"org_eJWsT9DuFrgKEe54Xob2"	2	NA	NA	"Dendritech, Inc."
"org_EK15oiFBOFVigjzSVUh4"	2	NA	NA	"Golba LLC"
"org_ek2MPEA0ZYVgDJO6OOqe"	2	NA	NA	"Eriez Manufacturing Co."
"org_Ek4zXCd2DvCFBPhtekQX"	3	NA	NA	"ResMed Limited"
"org_Ek8KefGaNViPnjT2BRyR"	3	NA	NA	"Weber S.r.l."
"org_EK9cvjgqCm2WJEmzEmBm"	2	NA	NA	"Sky Solar L.L.C."
"org_Ek9YUQoklLv6CCLoyeF4"	3	NA	NA	"PGS Seres AS"
"org_EkaC2hdbigYQS0gJUdPx"	2	NA	NA	"ISIS Pharmaceuticals, Inc."
"org_EKAoj5ATcygByaxe6owp"	2	NA	NA	"TALARI NETWORKS INCORPORATED"
"org_EKbwGUQSSe9AXBv4V0nP"	2	NA	NA	"Reed Tool Company"
"org_Ekf0uUVZBd83QXoHrcT0"	3	NA	NA	"METEOMATICS GMBH"
"org_EKGw2wdeF9sM842CXymj"	3	NA	NA	"Southern Taiwan University of Science and Technology"
"org_ekIRym5VtFxdpcERwzMt"	3	NA	NA	"Winsky Technology Limited"
"org_EKjejlf16vRcCmSqBQPL"	3	NA	NA	"Atlantic Inertial Systems Limited"
"org_EkK0vzYiVIfOC2a9bDmT"	2	NA	NA	"DDR Holdings, LLC"
"org_EkO2JudOf47RLDoeFeoT"	2	NA	NA	"WESCO Distribution, Inc."
"org_eKSR8dIUtKr19nWdKIFF"	3	NA	NA	"Voith Sulzer Stoffaufbereitung GmbH"
"org_EKTNZ4mNxJV4Pk8Q6w95"	2	NA	NA	"Sybase, Inc."
"org_EkTy5bgOuuGHKYzCt2vz"	3	NA	NA	"Food Cycle Systems Co., Ltd."
"org_EkV0lrAfxFIrEIi39EZs"	2	NA	NA	"Marvin Glass & Associates"
"org_EKVb5addahs7dRcjjXsE"	2	NA	NA	"New World Medical, Inc."
"org_EkWYOOZyKZGrVPlb7d2Y"	3	NA	NA	"Comau S.p.A."
"org_ekxfVdjQzijsHG6fjWAv"	2	NA	NA	"Hi-Shear Corporation"
"org_eKYOA0rXBs7a6IsJ034y"	2	NA	NA	"Soneter, LLC"
"org_EkZXRSijLiD7rnKuHwB9"	3	NA	NA	"KGP Co., Ltd."
"org_el8iQGWhj2x8NqGIoXQ0"	3	NA	NA	"Enerkem, Inc."
"org_EL9RDvUeyMIDNgBhArPw"	2	NA	NA	"Masimo Corporation"
"org_elkwd8zgfNhDATho0q3C"	2	NA	NA	"Research Corporation Technologies, Inc."
"org_ELNFlUozbgmv9BH7A7Ld"	2	NA	NA	"The Procter & Gamble Company"
"org_eLniANyR3dacufvybrgC"	3	NA	NA	"Universitat Zurich"
"org_eLRv9JzGCFE9A2pWjiGH"	3	NA	NA	"Bracco International B.V."
"org_elU7OtnIzzvNevfAcQO0"	3	NA	NA	"RANOMICS INC."
"org_eLup9rnAtS9XKCXZa5da"	2	NA	NA	"Avigen, Inc."
"org_eLzatNxZKAqZfMpTiewr"	3	NA	NA	"Nikon Technologies, Inc."
"org_Em005YxYAu3ZDxyIKIgP"	2	NA	NA	"GE Aviation Systems LLC"
"org_Em0iQBsq1ClTM0lwbhol"	3	NA	NA	"Xeikon NV"
"org_eM0V9hYloSG9eEH7YWhS"	2	NA	NA	"Olin Corporation"
"org_eM9BeECRQCMggNK3eO1h"	3	NA	NA	"MAGNA POWERTRAIN BAD HOMBURG GMBH"
"org_EMc999aWticIsRfzGAVI"	3	NA	NA	"Yamada Electric Mfg. Co., Ltd."
"org_EMEC50E0nnuegSrqZY2p"	2	NA	NA	"Greatbatch Ltd."
"org_emJR88Fm5NKqNfhEK61f"	2	NA	NA	"Brunwick Corporation"
"org_emKX28empOyDBNR1sfKd"	3	NA	NA	"Sun Technique Electric Co., Ltd."
"org_EMniftn7RrkC6kCLl6o1"	2	NA	NA	"CAVENDISH KINETICS, INC."
"org_emO19mZcTT4IVtQnsiAM"	2	NA	NA	"Innovir Laboratories, Inc."
"org_emTawF7ipsHNgZj2Tq5J"	2	NA	NA	"Alden Research Foundation"
"org_EMTM5ewFlysqzxbSNtMB"	2	NA	NA	"TriQuint Technology Holding Co."
"org_EN4wzee9EFfm5vKQN9lZ"	3	NA	NA	"FP-Pigments Oy"
"org_EnbVXFXsVyqqpLOUOzN9"	3	NA	NA	"Eorex Corporation"
"org_endwMznDHFjVMsHUncrf"	2	NA	NA	"Talis Biomedical Corporation"
"org_ENHG0tZpgUPesbTtR0Ue"	3	NA	NA	"Central Motor Wheel Co., Ltd."
"org_EnI4sEpgERqvoco0XxGA"	3	NA	NA	"Keio University"
"org_eNigjud5hyv29OoDAPr5"	3	NA	NA	"Leadtrend Technology Corp."
"org_eNIH71c10j3Qdv9QhUZw"	2	NA	NA	"Universal Electronics Inc."
"org_eNKafZ0laAfehnkyZang"	2	NA	NA	"American Hoechst Corporation"
"org_eNkdsK9nkcpzcjwdIPrH"	3	NA	NA	"LG Hausys, Ltd."
"org_EnNFfDlCMAv425MoYmfy"	3	NA	NA	"STMICROELECTRONICS (GRENOBLE 2) SAS"
"org_enPiB0Zj69rgK5iVbjI2"	2	NA	NA	"International Harvester Company"
"org_EnrFSZ0av0c9MPBtJ3aG"	3	NA	NA	"Ferco International Usine de Ferrures de Batiment"
"org_ENTcoffka7oCGFdVwtXb"	2	NA	NA	"Becton, Dickinson and Company"
"org_eoB7QKhoeKRsj5QA5YPA"	2	NA	NA	"SlipChip Corporation"
"org_EodiBlEZ7LZ4Zi7R43lZ"	2	NA	NA	"Diaperoos, LLC"
"org_EoeGlCcy8cUwWOejAHD3"	2	NA	NA	"Rigel Pharmaceuticals, Inc."
"org_eoERZOgiTxuCqgOlYMP8"	2	NA	NA	"Extreme Networks, Inc."
"org_eoF7dqWMtrHQ8rubgrYF"	3	NA	NA	"OCÉ HOLDING B.V."
"org_EoOV2L2JVEtKRATe6JBq"	2	NA	NA	"Uranerz U.S.A. Inc"
"org_eopQlsKiEufwTAVcSUfy"	2	NA	NA	"ITT Corporation"
"org_Eox5zYWFDtQauWxnX69z"	2	NA	NA	"Zackees, Inc."
"org_eoYySq5ETqr7gDL1eSoD"	2	NA	NA	"AMT International, Inc."
"org_Ep21XWAid8REodLLIXoe"	2	NA	NA	"Biointerventional Corporation"
"org_epDhyKT277L5nSrXnmRa"	2	NA	NA	"Creative Associates Limited Partnership"
"org_epFt4pGBQTb8gt1oyuIh"	2	NA	NA	"MCP IP, LLC"
"org_EPHM2ArR3gTNfGFTHqIj"	3	NA	NA	"Formway Furniture Limited"
"org_EPhQXH6nWSgLCpNNs1P4"	2	NA	NA	"The Gillette Company"
"org_EPi7jOtXCCyB9kUBFWaP"	3	NA	NA	"Mapper Lithography IP B.V."
"org_ePjqCTmDTbJ3TcOrY4cv"	2	NA	NA	"Zoya, Inc."
"org_EpLg9dIQCpo4IKMOkoEk"	3	NA	NA	"Indian Institute of Technology Bombay"
"org_ePnqwWciTPbSQWFAFN8f"	2	NA	NA	"Teleflora, Inc."
"org_EprB2w9u6MgvDicOMQVq"	2	NA	NA	"JUJO, INC., A DELAWARE CORPORATION"
"org_EPTEyU9N6DFA4bVHnPiA"	2	NA	NA	"Compellent Technologies"
"org_EPVZdNSdFOOcuQ26odW0"	3	NA	NA	"BSH Hausgeräte GmbH"
"org_eQ3ZYOOqY8hp5AyjCG9c"	2	NA	NA	"ADCO Industries—Technologies, L.P."
"org_eQ4i3hU8jK0o0FprpbHN"	2	NA	NA	"American Precision Industries Inc."
"org_eQbz0TmSbdnbgNjtqllY"	3	NA	NA	"Lamberti SPA"
"org_eqDmQgs0t0WNgmun8NCs"	2	NA	NA	"Kiel Laboratories, Inc."
"org_EQel3IOIizNlrEDAaeHs"	2	NA	NA	"T-Ram Semiconductor, Inc."
"org_EqePvEZjqBVPhnXAkVnI"	3	NA	NA	"Alfred Teves GmbH"
"org_eQl797rsHNnsNP7J3NKR"	2	NA	NA	"Robert T. and Virginia T. Jenkins"
"org_EQmQXcuWk8SV6TE7w29r"	3	NA	NA	"BRAGI GmbH"
"org_EQTZLEDtoMSUOr0MxJa3"	3	NA	NA	"Carl Zeiss Industrielle Messtechnik GmbH"
"org_equ9NCgnCqENjUcZgGlM"	3	NA	NA	"Moltech Invent S.A."
"org_eqyGnnrw5tOJvAndSqj8"	2	NA	NA	"BSH Home Appliances Corporation"
"org_er0jLUeXHgpJqBTcEp3C"	3	NA	NA	"Samsung Electro-Mechanics Japan Advanced Technology Co., Ltd."
"org_er8OuBSdholVF6fFESki"	2	NA	NA	"Intelligent Ideas Inc."
"org_ErbEeHWX3s65lAveeRet"	3	NA	NA	"Bosch Rexroth AG"
"org_ERJ4rv12PZLy7yIKojo1"	3	NA	NA	"Dyment Limited"
"org_ErKZj3JZXXjxNUW4MCmO"	2	NA	NA	"Ziften Technologies, Inc."
"org_ERLdTNrOuvBlwWyPNNdF"	2	NA	NA	"Telecom USA"
"org_ERLZXaXTrZnN4fmCW5R9"	3	NA	NA	"Atral"
"org_ErQlEcRFyBhcIUmWpicO"	3	NA	NA	"Rieter Machine Works, Ltd."
"org_ERSLMsDUS5HHK9BbtPzj"	3	NA	NA	"DiCon (S) PTE Ltd."
"org_ERsY5F216qe98HNXrEyg"	2	NA	NA	"VISHAY SPRAGUE, INC."
"org_ERt6nxN71HiQsMylwFzU"	2	NA	NA	"Chevron Research Company"
"org_ErurahVLushmw34cXlYO"	2	NA	NA	"SmithKline Beecham Corporation"
"org_ERVLdF90OVdFoxLyzJiw"	2	NA	NA	"Vinylex Corporation"
"org_ErXyGEMdpJx82WepKU4V"	3	NA	NA	"Rheinmetall W & M GmbH"
"org_erYstBHlB02HeMW2ZSE7"	3	NA	NA	"Big Sum Techno Co., Ltd."
"org_es0Bw0WUFHdfUmLCZZ6Z"	3	NA	NA	"UGK, Inc."
"org_Es1cBPpOB7oYo1K7K1JA"	2	NA	NA	"New Archery Products Corp."
"org_eS1qMbKslQ8EGGV68oRI"	3	NA	NA	"Hugh Steeper Limited"
"org_ES85zEjATwG3aOr6oCvX"	3	NA	NA	"Jean Walterscheid GmbH"
"org_escDbui2gccMPzIt9ox8"	3	NA	NA	"Societe Generale pour les Techniques Nouvelles S.G.N."
"org_esdgVtLXqKTU2sUXmO5E"	2	NA	NA	"ASSET GUARD PRODUCTS INC."
"org_eSisHLmERQs4V23VaLPP"	2	NA	NA	"Sonicor Instrument Corporation"
"org_esLc7wVYEi2tWTYvczGj"	2	NA	NA	"Localmed, Inc."
"org_esqrIGxwpcycILhddPd7"	2	NA	NA	"Premark WB Holdings, Inc."
"org_esuIqDQbOyFTFIQRmc1k"	3	NA	NA	"Hawera Probst GmbH & Co."
"org_EsundKBnmMAm5P9jy8YF"	3	NA	NA	"ALE INTERNATIONAL"
"org_eSutsf8OQA4L5iH0HgNv"	2	NA	NA	"Synectics Medical, Inc."
"org_EsZKOazHoaaOvVqgHRjs"	2	NA	NA	"Kop-Coat, Inc."
"org_Et7dsfpa5Tet1RXL2ZfT"	2	NA	NA	"BAIDU USA LLC"
"org_et89SMuo6iHpMwg9t0tR"	3	NA	NA	"ELA Medical S.A.S."
"org_eT9x3pCz8tz7oGyjzys4"	3	NA	NA	"Hoechst Trespaphan GmbH"
"org_ETbnMamk021Zu0Srd8PM"	3	NA	NA	"LS Automotive Technologies Co., Ltd."
"org_ETBseoLsAOt8JHlgCqna"	3	NA	NA	"Corus Aluminium N.V."
"org_Etd30R8GTFwcnqiETtGg"	3	NA	NA	"FUJI CORPORATION"
"org_Etdpgc5JN13NmSwF0Hui"	3	NA	NA	"Colson Castors (U.K.)"
"org_ETf49hjdTNCtjm8OGFvB"	2	NA	NA	"Edgecast Networks, Inc."
"org_EThLsq7EcSy3LL96nQkl"	2	NA	NA	"Fair Isaac Corporation"
"org_eTLgwc00jBI8FY4xk6vS"	2	NA	NA	"Under Sea Industries Of Delaware, Inc."
"org_EtoZ3xEF2V5KBepbh8Zr"	2	NA	NA	"Walker Manufacturing Company"
"org_EtPF650lONyHtgFTfwXC"	2	NA	NA	"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC."
"org_ETPNMEm1IA0JCoR0oqnJ"	3	NA	NA	"Kurashiki Boseki Kabushiki Kaisha"
"org_etROpYiiPSX4dzLjRdCM"	3	NA	NA	"Didier Engineering GmbH"
"org_eTSFQJeQX9bJLEqiDESF"	2	NA	NA	"Lockheed Missiles & Space Company, Inc."
"org_ettTheTTxfooNwiuKM2A"	2	NA	NA	"ADTI MEDIA, LLC"
"org_eTuOxQIML6ZHBw1I03fS"	3	NA	NA	"SHENYANG INSTITUTE OF AUTOMATION, CHINESE ACADEMY OF SCIENCES"
"org_EtxdVL7A56MVYzxnpKqG"	2	NA	NA	"Geo Semiconductor Inc."
"org_ETxjTjawbukEtDXeo6X3"	3	NA	NA	"GC Corporation"
"org_EtZQ5KDRyNqLPIQERwFT"	2	NA	NA	"Rapid Micro Biosystems, Inc."
"org_eUbtsfw0Fq9dbPHtE8Zl"	3	NA	NA	"Korea Advanced Institute of Science and Technology"
"org_eucosFXkvgrSiaF5SLdc"	2	NA	NA	"Columbus McKinnon Corporation"
"org_euF6LYYwnV5pnuNjCqLr"	3	NA	NA	"ALMA MATER STUDIORUM—UNIVERSITÀ DI BOLOGNA"
"org_EuJ0aBBRHUiYuLbDYHFB"	3	NA	NA	"Inotech Kunststofftechnik GMBH"
"org_EumEDWaa7PPfezhOMIl8"	2	NA	NA	"DCG SYSTEMS, INC."
"org_EUPzSR6mIwV1i1wjYU8y"	2	NA	NA	"Sumo Logic"
"org_euQYhLg2vvixc0nrtjy3"	2	NA	NA	"Nixle, LLC"
"org_eUSUZlKvxiNEkbfM5XkJ"	3	NA	NA	"Secure Thingz Limited"
"org_EuTeBbDXFiT7KemyG7SV"	3	NA	NA	"Osaka Prefecture University Public Corporation"
"org_EuTXLMNpj9dGIzZTrhMw"	3	NA	NA	"GESTRA Kondensatableiter GmbH & Co."
"org_eUV0oV2RU0PcNnRXOsT6"	3	NA	NA	"Institute of Pharmacology and Toxicology Academy of Military Medical Sciences P.L.A. China"
"org_EUXXMG21cGwHXBhp12n0"	2	NA	NA	"LEXISNEXIS RISK SOLUTIONS INC."
"org_EUzP4JhVZ7tOmgizew5m"	3	NA	NA	"Electrolux Appliances Aktiebolag"
"org_eV5o6ZSsfxgcZeMNEM57"	2	NA	NA	"General Motors Corporation"
